No,[usec],,,
502,627.5,-0.009670347,,
503,628.75,-0.009665762,,
504,630,-0.009656594,,
505,631.25,-0.009642842,,
506,632.5,-0.009633674,,
507,633.75,-0.009624505,,
508,635,-0.009615337,,
509,636.25,-0.009601585,,
510,637.5,-0.009587832,,
511,638.75,-0.009587832,,
512,640,-0.009592416,,
513,641.25,-0.009592416,,
514,642.5,-0.00957408,,
515,643.75,-0.009564912,,
516,645,-0.009551159,,
517,646.25,-0.009541991,,
518,647.5,-0.009532823,,
519,648.75,-0.009523655,,
520,650,-0.009514486,,
521,651.25,-0.009509902,,
522,652.5,-0.009505318,,
523,653.75,-0.009500734,,
524,655,-0.009482397,,
525,656.25,-0.009468645,,
526,657.5,-0.009459477,,
527,658.75,-0.009436556,,
528,660,-0.00941822,,
529,661.25,-0.009413636,,
530,662.5,-0.009409051,,
531,663.75,-0.009395299,,
532,665,-0.009376963,,
533,666.25,-0.00936321,,
534,667.5,-0.009358626,,
535,668.75,-0.009354042,,
536,670,-0.009344874,,
537,671.25,-0.009335705,,
538,672.5,-0.009326537,,
539,673.75,-0.009317369,,
540,675,-0.009303617,,
541,676.25,-0.009294448,,
542,677.5,-0.009289864,,
543,678.75,-0.009276112,,
544,680,-0.009266944,,
545,681.25,-0.009262359,,
546,682.5,-0.009257775,,
547,683.75,-0.009253191,,
548,685,-0.009248607,,
549,686.25,-0.009234855,,
550,687.5,-0.009211934,,
551,688.75,-0.009211934,,
552,690,-0.009202766,,
553,691.25,-0.009189013,,
554,692.5,-0.009179845,,
555,693.75,-0.009166093,,
556,695,-0.00915234,,
557,696.25,-0.00915234,,
558,697.5,-0.009143172,,
559,698.75,-0.009143172,,
560,700,-0.009124836,,
561,701.25,-0.009106499,,
562,702.5,-0.009097331,,
563,703.75,-0.009097331,,
564,705,-0.009097331,,
565,706.25,-0.009092747,,
566,707.5,-0.009083579,,
567,708.75,-0.009060658,,
568,710,-0.009046906,,
569,711.25,-0.009033153,,
570,712.5,-0.009014817,,
571,713.75,-0.009010233,,
572,715,-0.008991896,,
573,716.25,-0.008982728,,
574,717.5,-0.00897356,,
575,718.75,-0.008964391,,
576,720,-0.008968975,,
577,721.25,-0.008964391,,
578,722.5,-0.008955223,,
579,723.75,-0.008955223,,
580,725,-0.008941471,,
581,726.25,-0.008932302,,
582,727.5,-0.008923134,,
583,728.75,-0.008900214,,
584,730,-0.008881877,,
585,731.25,-0.008863541,,
586,732.5,-0.008849788,,
587,733.75,-0.00884062,,
588,735,-0.008831452,,
589,736.25,-0.008817699,,
590,737.5,-0.008803947,,
591,738.75,-0.008794779,,
592,740,-0.008794779,,
593,741.25,-0.008790195,,
594,742.5,-0.00878561,,
595,743.75,-0.008767274,,
596,745,-0.008758106,,
597,746.25,-0.008744353,,
598,747.5,-0.008739769,,
599,748.75,-0.008735185,,
600,750,-0.008739769,,
601,751.25,-0.008721433,,
602,752.5,-0.008712264,,
603,753.75,-0.008693928,,
604,755,-0.008689344,,
605,756.25,-0.008689344,,
606,757.5,-0.00868476,,
607,758.75,-0.008671007,,
608,760,-0.008666423,,
609,761.25,-0.008661839,,
610,762.5,-0.008661839,,
611,763.75,-0.008661839,,
612,765,-0.008652671,,
613,766.25,-0.00862975,,
614,767.5,-0.008615998,,
615,768.75,-0.008602245,,
616,770,-0.008593077,,
617,771.25,-0.008583909,,
618,772.5,-0.008570157,,
619,773.75,-0.00855182,,
620,775,-0.008524315,,
621,776.25,-0.008510563,,
622,777.5,-0.008505979,,
623,778.75,-0.008492226,,
624,780,-0.00847389,,
625,781.25,-0.008455553,,
626,782.5,-0.008446385,,
627,783.75,-0.008437217,,
628,785,-0.008423465,,
629,786.25,-0.008414296,,
630,787.5,-0.008400544,,
631,788.75,-0.008382207,,
632,790,-0.008363871,,
633,791.25,-0.008368455,,
634,792.5,-0.008373039,,
635,793.75,-0.008373039,,
636,795,-0.008350119,,
637,796.25,-0.008336366,,
638,797.5,-0.00831803,,
639,798.75,-0.008308861,,
640,800,-0.008295109,,
641,801.25,-0.008281357,,
642,802.5,-0.008258436,,
643,803.75,-0.008253852,,
644,805,-0.008244684,,
645,806.25,-0.008230931,,
646,807.5,-0.008221763,,
647,808.75,-0.008217179,,
648,810,-0.008203426,,
649,811.25,-0.008194258,,
650,812.5,-0.008189674,,
651,813.75,-0.008194258,,
652,815,-0.008180506,,
653,816.25,-0.008162169,,
654,817.5,-0.008148417,,
655,818.75,-0.008134665,,
656,820,-0.008120912,,
657,821.25,-0.00810716,,
658,822.5,-0.008097992,,
659,823.75,-0.008075071,,
660,825,-0.008061319,,
661,826.25,-0.008061319,,
662,827.5,-0.008042982,,
663,828.75,-0.00802923,,
664,830,-0.008024646,,
665,831.25,-0.008006309,,
666,832.5,-0.007987973,,
667,833.75,-0.007987973,,
668,835,-0.007969636,,
669,836.25,-0.007969636,,
670,837.5,-0.007955884,,
671,838.75,-0.007932963,,
672,840,-0.007910042,,
673,841.25,-0.007900874,,
674,842.5,-0.007891706,,
675,843.75,-0.007887122,,
676,845,-0.007882538,,
677,846.25,-0.007868785,,
678,847.5,-0.007859617,,
679,848.75,-0.007855033,,
680,850,-0.007845865,,
681,851.25,-0.007832112,,
682,852.5,-0.007804607,,
683,853.75,-0.007781687,,
684,855,-0.007767934,,
685,856.25,-0.00776335,,
686,857.5,-0.007754182,,
687,858.75,-0.007745014,,
688,860,-0.007735846,,
689,861.25,-0.007722093,,
690,862.5,-0.007717509,,
691,863.75,-0.007717509,,
692,865,-0.007712925,,
693,866.25,-0.007708341,,
694,867.5,-0.007694588,,
695,868.75,-0.007671668,,
696,870,-0.007667084,,
697,871.25,-0.007657915,,
698,872.5,-0.007653331,,
699,873.75,-0.007639579,,
700,875,-0.007625827,,
701,876.25,-0.00760749,,
702,877.5,-0.00760749,,
703,878.75,-0.007602906,,
704,880,-0.007584569,,
705,881.25,-0.007570817,,
706,882.5,-0.007557065,,
707,883.75,-0.007534144,,
708,885,-0.007524976,,
709,886.25,-0.007511223,,
710,887.5,-0.007511223,,
711,888.75,-0.007492887,,
712,890,-0.007479134,,
713,891.25,-0.007465382,,
714,892.5,-0.007460798,,
715,893.75,-0.007456214,,
716,895,-0.007447046,,
717,896.25,-0.007424125,,
718,897.5,-0.007419541,,
719,898.75,-0.007401204,,
720,900,-0.007392036,,
721,901.25,-0.007387452,,
722,902.5,-0.007378284,,
723,903.75,-0.007359947,,
724,905,-0.007341611,,
725,906.25,-0.007332442,,
726,907.5,-0.007327858,,
727,908.75,-0.007323274,,
728,910,-0.007309522,,
729,911.25,-0.007291185,,
730,912.5,-0.007277433,,
731,913.75,-0.007272849,,
732,915,-0.007272849,,
733,916.25,-0.007263681,,
734,917.5,-0.007254512,,
735,918.75,-0.007245344,,
736,920,-0.007231592,,
737,921.25,-0.007227008,,
738,922.5,-0.007213255,,
739,923.75,-0.007199503,,
740,925,-0.007181166,,
741,926.25,-0.007167414,,
742,927.5,-0.007153662,,
743,928.75,-0.007135325,,
744,930,-0.007126157,,
745,931.25,-0.007126157,,
746,932.5,-0.007112404,,
747,933.75,-0.007089484,,
748,935,-0.007080315,,
749,936.25,-0.007075731,,
750,937.5,-0.007071147,,
751,938.75,-0.007066563,,
752,940,-0.007048227,,
753,941.25,-0.00702989,,
754,942.5,-0.007016138,,
755,943.75,-0.007006969,,
756,945,-0.007006969,,
757,946.25,-0.007006969,,
758,947.5,-0.006988633,,
759,948.75,-0.006974881,,
760,950,-0.006956544,,
761,951.25,-0.006956544,,
762,952.5,-0.006947376,,
763,953.75,-0.006942792,,
764,955,-0.006924455,,
765,956.25,-0.006906119,,
766,957.5,-0.006906119,,
767,958.75,-0.006901535,,
768,960,-0.006887782,,
769,961.25,-0.00687403,,
770,962.5,-0.006851109,,
771,963.75,-0.006832773,,
772,965,-0.006828189,,
773,966.25,-0.00681902,,
774,967.5,-0.006809852,,
775,968.75,-0.0067961,,
776,970,-0.006786931,,
777,971.25,-0.006777763,,
778,972.5,-0.006768595,,
779,973.75,-0.006764011,,
780,975,-0.006750258,,
781,976.25,-0.006722754,,
782,977.5,-0.006704417,,
783,978.75,-0.006699833,,
784,980,-0.006695249,,
785,981.25,-0.006690665,,
786,982.5,-0.006676912,,
787,983.75,-0.00666316,,
788,985,-0.006649408,,
789,986.25,-0.006644824,,
790,987.5,-0.006635655,,
791,988.75,-0.006631071,,
792,990,-0.006617319,,
793,991.25,-0.006589814,,
794,992.5,-0.006571477,,
795,993.75,-0.006553141,,
796,995,-0.006548557,,
797,996.25,-0.006539389,,
798,997.5,-0.006534804,,
799,998.75,-0.006516468,,
800,1000,-0.0065073,,
801,1001.25,-0.006498131,,
802,1002.5,-0.006479795,,
803,1003.75,-0.006470627,,
804,1005,-0.006447706,,
805,1006.25,-0.006424785,,
806,1007.5,-0.006415617,,
807,1008.75,-0.006401865,,
808,1010,-0.006388112,,
809,1011.25,-0.00637436,,
810,1012.5,-0.006351439,,
811,1013.75,-0.006323935,,
812,1015,-0.006310182,,
813,1016.25,-0.006291846,,
814,1017.5,-0.006287262,,
815,1018.75,-0.006282678,,
816,1020,-0.006264341,,
817,1021.25,-0.006246005,,
818,1022.5,-0.006236836,,
819,1023.75,-0.006232252,,
820,1025,-0.006223084,,
821,1026.25,-0.006190995,,
822,1027.5,-0.006168074,,
823,1028.75,-0.006149738,,
824,1030,-0.006135986,,
825,1031.25,-0.006131401,,
826,1032.5,-0.006122233,,
827,1033.75,-0.006099313,,
828,1035,-0.006080976,,
829,1036.25,-0.006067224,,
830,1037.5,-0.006058055,,
831,1038.75,-0.006053471,,
